PGNDB181	Dpm-Tetra-Tetra	SMILE	InChI
PGNDB182	G-M-Tri-Dipeptid (2x amid)	SMILE	InChI
PGNDB183	G-M-Tri-Dipeptid (1x amid)	SMILE	InChI
PGNDB184	G-M-Tri-Dipeptid	SMILE	InChI
PGNDB185	UDP-MurNAc-Tetrapeptid	SMILE	InChI
PGNDB186	UDP-MurNAc-Pentapeptid (Lys statt Dpm)	SMILE	InChI
PGNDB187	GM-Tetra-Ala-Dpm	SMILE	InChI
PGNDB188	UDP-MurNAc-Pentapeptid	SMILE	InChI
PGNDB189	Tri-Tetra-Tetra (3x amidiert)	SMILE	InChI
PGNDB190	Tri-Tetra-Tetra (2x amidiert)	SMILE	InChI
PGNDB191	Ttri-Tetra-Tetra (1x amidiert)	SMILE	InChI
PGNDB192	Tri-Tetra-Tetra	SMILE	InChI
PGNDB193	GM-Tri-Tetra (2x amid)	SMILE	InChI
PGNDB194	GM-Tri-Tetra (1x amid)	SMILE	InChI
PGNDB195	GM-Tri-Tetra	SMILE	InChI
PGNDB196	Tetra-Tetra-Tetra (3x amidiert)	SMILE	InChI
PGNDB197	Tetra-Tetra-Tetra (2x amidiert)	SMILE	InChI
PGNDB198	Tetra-Tetra-Tetra (1x amidiert)	SMILE	InChI
PGNDB199	Tetra-Tetra-Tetra	SMILE	InChI
PGNDB200	GM-Tetra-Tetra (2x amid)	SMILE	InChI
PGNDB201	GM-Tetra-Tetra (1x amid)	SMILE	InChI
PGNDB202	GM-Tetra-Tetra	SMILE	InChI
PGNDB203	M-Tri-Tetra-M (2x amid)	SMILE	InChI
PGNDB204	M-Tri-Tetra-M (amid)	SMILE	InChI
PGNDB205	M-Tri-Tetra-M	SMILE	InChI
PGNDB206	5P*-4P*-4P*	SMILE	InChI
PGNDB207	5P*-4P*-4P	SMILE	InChI
PGNDB208	GM-Tetra-GM	SMILE	InChI
PGNDB209	5P*-4P-4P	SMILE	InChI
PGNDB210	5P-4P-4P	SMILE	InChI
PGNDB211	(GlcNAc-MurNAc)3	SMILE	InChI
PGNDB212	GM-Tri-Tetra-M (2x amid)	SMILE	InChI
PGNDB213	GM-Tri-Tetra-M (amid)	SMILE	InChI
PGNDB214	GM-Tri-Tetra-M	SMILE	InChI
PGNDB215	3P*-4P*-4P*-4P*	SMILE	InChI
PGNDB216	3P*-4P*-4P*-4P	SMILE	InChI
PGNDB217	3P*-4P*-4P-4P	SMILE	InChI
PGNDB218	3P*-4P-4P-4P	SMILE	InChI
PGNDB219	3P-4P-4P-4P	SMILE	InChI
PGNDB220	GM-Tri-Tetra-MG (2x amid)	SMILE	InChI
PGNDB221	GM-Tri-Tetra-MG (1x amid)	SMILE	InChI
PGNDB222	GM-Tri-Tetra-MG	SMILE	InChI
PGNDB223	GM-Tetra-Tetra-MG (2x amid)	SMILE	InChI
PGNDB224	GM-Tetra-Tetra-MG (amid)	SMILE	InChI
PGNDB225	GM-Tetra-Tetra-MG	SMILE	InChI
PGNDB226	GM-Penta-Tetra-MG (2x amid)	SMILE	InChI
PGNDB227	GM-Penta-Tetra-MG (amid)	SMILE	InChI
PGNDB228	GM-Penta-Tetra-MG	SMILE	InChI
